Nama,Alamat,Latitude,Longitude,Jenis Konektor
SPKLU HOTEL NARITA SURABAYA,"JI. Barata Jaya XVII No.57-59, Baratajaya, Gubeng, Surabaya",-7.303837,112.760546,AC TYPE 2
SPKLU PLN ULP TANDES,"JI. Margomulyo No.44 Kav E No.4, Greges, Asem Rowo, Surabaya",-7.236576,112.684641,AC TYPE 2
SPKLU PLN ULP RUNGKUT 1,"JI. Rungkut Industri VII No.27, Kutisari, Tenggilis Mejoyo, Surabaya",-7.335656,112.750296,AC TYPE 2
SPKLU TRANS ICON SURABAYA,"JI Ahmad Yani 260, Menanggal, Surabaya",-7.338709,112.728875,AC TYPE 2
Resto Ayam Goreng Gringging Lombok,"Telaga Utama Road, Sambikerep, Surabaya",-7.28541,112.647684,"AC TYPE 2,CHADEMO,CCS2"
SPKLU PLN UP3 SURABAYA BARAT,"JI. Taman Bar. No.48, Taman, Kabupaten Sidoarjo",-7.354489,112.695175,"AC TYPE 2,CHADEMO,CCS2"
AUTO2000 HR Mohammad Surabaya,"JI. Mayjen HR. Muhammad No.73, Pradahkalikendal, Dukuhpakis, Surabaya",-7.285519,112.694637,AC TYPE 2
(WULING) Arista HR Muhammad,"JI. H.R. Muhammad No. 132, Pradahkalikendal, Dukuh Pakis, Surabaya",-7.282625,112.688356,GBT
SPKLU Utomo Charge+ Ruko Darmo Permai,"JI. Darmo Permai II/56 Kav5, Pradah Kalikendal, Dukuh Pakis, Surabaya",-7.280829,112.684471,AC TYPE 2
(WULING) Maju Motor Wiyung,"JI. Raya Menganti No.102, Jajar Tunggal, Wiyung, Surabaya",-7.313187,112.703102,GBT
(PARKING+) Pakuwon Orchad & Tanglin Residence,Pakuwon Orchad & Tanglin Residence,-7.288241,112.675009,AC TYPE 2
(PARKING+) Pakuwon Waterplace Residence,Pakuwon Waterplace Residence,-7.29236,112.672852,AC TYPE 2
(VOLTRON) G-Walk Surabaya,"Jalan Niaga Gapura No.14 Lidah Kulon, Lakarsantri, Surabaya",-7.291545,112.654565,AC TYPE 2
(VOLTRON) McD Waru,"JI. Brigjen Darsono, Sunyaragi, Kesambi, Cirebon",-7.365008,112.729569,AC TYPE 2
SPKLU PLN ULP Taman,"JI. Raya Geluran No 1, Geluran, Taman, Sidoarjo",-7.355494,112.690882,"CCS2,Chademo,AC TYPE 2"
SPKLU PLN Nusantara Power UP Gresik,"JI Harun Thohir No.1, Gresik",-7.169196,112.662271,"CCS2,AC TYPE 2"
Arina Parama Jaya,"JI. Raya Veteran Km.1, Gresik",-7.185775,112.647704,AC TYPE 2
(WULING) Prima Gresik,"JI. R.A. Kartini No.128, Injen Barat, Tlogobendung, Gresik",-7.168869,112.648632,GBT
(WULING) Perdana Sidoarjo,"JI. Ahmad Yani No.101, Sruni, Gedangan, Sidoarjo",-7.395991,112.727187,GBT
SPKLU PLN UP3 GRESIK,"JI. Dr Wahidin Sudirohusodo No 134, Gresik",-7.162983,112.632438,"CCS2,Chademo,AC TYPE 2"
SPKLU Gress Mall Gresik,"JI Sumatera No 1-5, GKB, Kebomas, Gresik",-7.158674,112.616261,AC TYPE 2
SPKLU Rest Area KM 753 B Tol Surabaya-Gempol,Rest Area KM 753B Tol Surabaya-Gempol,-7.41897,112.69371,"CCS2,AC TYPE 2"
SPKLU Icon Mall Gresik,"JI Dr Wahidin Sudirohusodo No 788, Kembangan, Kebomas, Gresik",-7.166869,112.601028,"CCS2,AC TYPE 2"
SPKLU Rest Area 754 A Surabaya-Gempol,Rest Area 754 A Surabaya-Gempol,-7.425395,112.693355,CCS2
SPKLU PLN UP3 SIDOARJO,"JI. Ahmad Yani No.47-49, Sidoarjo",-7.449884,112.718429,"CCS2,AC TYPE 2"
(VOLTRON) Rest Area KM 725 A Ruas Surabaya-Mojokerto,Rest Area KM 725 A Surabaya-Mojokerto,-7.378869,112.544664,CCS2
SPKLU PLN ULP BENJENG,"JI Raya Munggugianti No 42, Gresik",-7.263848,112.493586,AC TYPE 2
SPKLU REST AREA (TRAVOY) KM 792 A TOL GEMPOL-PASURUAN,Rest Area 792 A Tol Gempol - Pasuruan,-7.65332,112.854645,"CCS2,Chademo,AC TYPE 2"
SPKLU REST AREA (TRAVOY) KM 66 A Ruas Tol Pandaan-Malang,Rest Area 66 A Tol Pandaan-Malang,-7.743331,112.718473,"CCS2,AC TYPE 2"
SPKLU REST AREA (TRAVOY) KM 66 B Ruas Tol Pandaan-Malang,Rest Area 66 B Tol Pandaan-Malang,-7.743352,112.716965,"CCS2,AC TYPE 2"
SPKLU REST AREA (TRAVOY) KM 84 B Surabaya-Malang,Rest Area 84 B Surabaya-Malang,-7.895896,112.697453,CCS2
SPKLU Masjid Abdullah Permata Jingga,"Permata Jingga II, Tunggulwulung, Malang",-7.930568,112.617143,AC TYPE 2
Kartika Sari Motor,"JI. Puncak Borobudur No.1, Malang",-7.936438,112.626363,AC TYPE 2
SPKLU REST AREA KM 833 A Ruas TOL PASURUAN-PROBOLINGGO,Rest Area 833 A Tol Pasuruan - Probolinggo,-7.807636,113.170893,"CCS2,Chademo,AC TYPE 2"
SPKLU RS UNIVERSITAS BRAWIJAYA,"RS Universitas Brawijaya, Malang",-7.941537,112.622077,AC TYPE 2
SPKLU Gedung Pemkot Surabaya,"PPRX+R52 Ketabang, Surabaya, East Java",-7.257996,112.747887,AC TYPE 2
SPKLU WTC Surabaya Mall,"PPPX+X7C Embong Kaliasin, Surabaya, East Java",-7.262561,112.748145,"AC TYPE, CCS2, CHAdeMO"
SPKLU PLN UID Jawa Timur,"PPMV+P77 Embong Kaliasin, Surabaya, East Java",-7.265702,112.743163,"AC TYPE, CCS2"
SPKLU Emergency Mobile,"PPMV+J63 Embong Kaliasin, Surabaya, East Java",-7.265988,112.743054,"AC TYPE, CCS2"
SPKLU SIOLA Tunjungan,"PPVQ+J6F Alun-alun Contong, Surabaya, East Java",-7.255949,112.738058,AC TYPE
SPKLU Utomo Charge Plus Konsulat Kehormatan Republik Belarus Basuki Rahmat Surabaya,"PPGR+WWG Embong Kaliasin, Surabaya, East Java",-7.272695,112.742325,AC TYPE
SPKLU PLN ULP Embong Wungu,"PP9Q+FXG DR. Soetomo, Surabaya, East Java",-7.28132,112.739942,"CHAdeMO, CCS2"
SPKLU PLN Surabaya Selatan,"PP6X+FWF Pucang Sewu, Surabaya, East Java",-7.288816,112.749806,"CCS2, AC TYPE"
SPKLU (Arista Power) BYD Kenjeran Surabaya,"PQXP+VRC Kalijudan, Surabaya, East Java",-7.250305,112.787012,CCS2
(WULING) Perdana Kediri,"Jl. Urip Sumaharjo No.397C, Kota Kediri, Jawa Timur",-7.395949,112.727187,GBT
SPKLU Rest Area 754 A Surabaya Gempol,"Surabaya - Gempol Toll Rd No.KM. 754, Ngepung, Sidokepung, Buduran, Sidoarjo",-7.425395,112.693355,CCS2
SPKLU PT PJB,"Jl. Ketintang Baru No.11, Surabaya, Jawa Timur",-7.318496,112.727343,"AC TYPE 2, CHAdeMO, CCS2"
"SPKLU Utomo Charge+ Rungkut Industri, Surabaya","Jl. Rungkut Industri III No.21, Kutisari, Tenggilis Mejoyo, Surabaya",-7.335172,112.753796,AC TYPE 2
(WULING) Arista Sidoarjo,"J. Pahlawan No.14, Kwadengan Barat, Lemahputro, Kec. Sidoarjo, Kabupaten Sidoarjo, Jawa Timur 61213",-7.449564,112.709012,GBT
"SPKLU Utomo Charge+ Ruko Darmo Permai, Surabaya","JI. Darmo Permai II/56 Kav5, Pradah Kalikendal, Dukuh Pakis, Surabaya Jawa Timur 60226",-7.280829,112.684471,AC TYPE 2
SPKLU PLN SURABAYA SELATAN,"JI. Ngagel Tim. No.14, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60283",-7.288816,112.749806,"AC TYPE 2, CCS2"
"SPKLU Utomo Charge+ Konsulat Kehormatan Republik Belarus - Basuki Rahmat, Surabaya","JI. Basuki Rahmat No.149, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271",-7.272695,112.742325,AC TYPE 2
(WULING) BLSS Basuki Rahmat,"JI. Basuki Rahmat No.86, Tegalsari, Kec. Tegalsari, Surabaya, Jawa Timur 60271",-7.268749,112.74106,GBT
SPKLU PLN UID JAWA TIMUR,"JI. Embong Wungu No.4, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271",-7.265702,112.743163,"AC TYPE 2, CCS2"
(Terra Charge) Sheraton Surabaya,"JI. Embong Malang No.25-31, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261",-7.262679,112.738065,AC TYPE 2
"(Terra Charge) Four Points by Sheraton Surabaya, Tunjungan Plaza","Jalan Embong Malang No.25-31, Surabaya",-7.261322,112.738813,AC TYPE 2
(STARVO) MaxOne Hotel Tidar,"Maxone Hotel Tidar - Surabaya, Sawahan, Kota Surabaya, Jawa Timur",-7.258434,112.730026,AC TYPE 2
SPKLU PLN WTC Surabaya Mall,"JI. Pemuda No.27-31, Embong Kaliasin, Kec. Genteng, Surabaya",-7.262561,112.748145,"AC TYPE 2, CHAdeMO, CCS2"
(WULING) Arista Tunjungan,"JI. Tunjungan No.50, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275",-7.258453,112.737801,GBT
AUTO2000 Kertajaya,"JI. Kertajaya Indah Timur No.35, Surabaya 60116",-7.282491,112.781264,AC TYPE 2
(SSK) Grand City Mall - Surabaya,"JI. Gubeng Pojok No.1, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272",-7.261838,112.750008,AC TYPE 2
SPKLU SIOLA TUNJUNGAN,"JI Genteng Kali, Surabaya",-7.255949,112.738058,AC TYPE 2
SPKLU BALAI KOTA SURABAYA,"JI Taman Surya No.1, Surabaya",-7.257996,112.747887,AC TYPE 2
